name,id,set,triads,propriety,lerdahl_instable_modes,unique_step_sizes,IC1,IC2,IC3,IC4,IC5,IC6,IV_sum,num_of_trichords,total_trichords,num_of_triads,consecutive_semitones,subset_of_diatonic,cardinality,step_mean_error,step_mean_error_cents,unevenness,binary_unevenness,subset_of_MOLT,num_of_transpositions,dissonance_min,dissonance_max,dissonance_med,dissonance_mean,violations,segments,role_clarity,motive_strength,lev_penta,lev_dia,stackable_in_3rds,fully_scalar,imperfections,area,inverse_cardinal,prime_form,diatonic_parents,harmonicm_parents,melodicm_parents,unique_diads,total_diads,sameness_quotient,coherence_quotient,note2,note3,note4,note5,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,necklace_family,necklace_family_members,evenness_of_spread,step_similarity,constituent_similarity,roughness,cardinality_variety_ratio,mode_variance,differences,ambiguities,contradictions,virtual_cardinality,edo,fragment1_name,fragment2_name,step_mean_error_min,step_mean_error_max,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,rahn_differences,rahn_contradictions,rahn_ambiguities,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name
585,0,0 3 6 9,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,false,4,0,0,0,0,1,3,0.08119254661528584,0.08119254661528584,0.08119254661528584,0.08119254661528584,8,1,2,5,3,5,true,false,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0,1,1,0.08119254661528584,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
1365,1,0 2 4 6 8 10,0,strictly proper,0,1,0,6,0,6,0,3,15,4,24,1,0,false,6,0,0,0,0.3333333333333333,1,2,0.3149724489777975,0.3149724489777975,0.3149724489777975,0.3149724489777976,12,1,2,7,3,4,false,true,6,0.8269933431326992,1365,1,0,0,0,3,18,1,1,2,4,6,8,12,12,12,0,,0,2 2 2 2 2 2,1,1.71193772834421e-33,1,1,0.3149724489777976,3.5,0,0,0,0,6,12,S6-21,S6-21,0,5,200,200,0,0,0,0,0,1,0,0,0,"0,2,4,6,8,10",12-1365,"0,2,4,6,8,10",12-1365,"0,4,8,12,16,20",24-1118481
