name,id,set,triads,propriety,lerdahl_instable_modes,unique_step_sizes,IC1,IC2,IC3,IC4,IC5,IC6,IV_sum,num_of_trichords,total_trichords,num_of_triads,consecutive_semitones,subset_of_diatonic,cardinality,step_mean_error,step_mean_error_cents,unevenness,binary_unevenness,subset_of_MOLT,num_of_transpositions,dissonance_min,dissonance_max,dissonance_med,dissonance_mean,violations,role_clarity,motive_strength,lev_penta,lev_dia,stackable_in_3rds,fully_scalar,imperfections,area,inverse_cardinal,prime_form,diatonic_parents,harmonicm_parents,melodicm_parents,unique_diads,total_diads,sameness_quotient,coherence_quotient,note2,note3,note4,note5,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,necklace_family,necklace_family_members,evenness_of_spread,step_similarity,constituent_similarity,roughness,cardinality_variety_ratio,mode_variance,differences,ambiguities,contradictions,virtual_cardinality,edo,fragment1_name,fragment2_name,step_mean_error_min,step_mean_error_max,runs,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,rahn_differences,rahn_contradictions,rahn_ambiguities,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,symmetry_distinct_triads,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,tonal_entropy,tonal_conv_rate
115,23,0 1 4 5 6,0,improper,0,3,3,1,1,2,2,1,10,9,10,4,2,FALSE,5,1.68,168,3.866666667,1.666666667,3,12,0.20210924,0.392181856,0.333777871,0.284783898,4,1.2,6,3,3,FALSE,FALSE,3,0.397887358,103,0,0,0,0,6,11,0.25,0.32,1,4,5,6,21,21,21,3,"2,3,6",15,6 3 1 1 1,4,0.010555556,0.72,0.703703704,0.284783898,0.711111111,200,30,1,16,7,12,S6-15,S6-1,0,5,4,100,"100,300,600",0.008680556,0,30,16,1,0.071428571,21,27,1.285714286,6,9,3,2,0,"0,1,4,5,6",12-115,"0,1,4,5,6",12-115,"0,2,8,10,12",24-5381,2.000223827,0.600007912
179,24,0 1 4 5 7,1,improper,1,4,2,1,2,2,2,1,10,10,10,5,1,FALSE,5,1.28,128,3.066666667,1.366666667,3,12,0.179301228,0.319855577,0.276677327,0.242810034,6,1.2,6,3,3,FALSE,FALSE,3,0.535719582,205,1,0,1,0,6,15,0.1,0.44,1,4,5,7,22,22,24,4,"2,3,5,6",16,5 3 2 1 1,12,0.006111111,0.786666667,0.791666667,0.242810034,0.633333333,160,36,5,9,6,12,S7-27,S5-1,0,5,5,100,"100,200,300,500",0.004145408,0,36,9,5,0.056818182,22,27,1.227272727,6,10,2,2,1,"0,1,4,5,7",12-179,"0,1,4,5,7",12-179,"0,2,8,10,14",24-17669,2.045002448,2
307,25,0 1 4 5 8,3,improper,0,3,2,0,2,4,2,0,10,7,16,5,1,FALSE,5,1.12,112,2.666666667,1.233333333,3,12,0.155948727,0.273660585,0.23385336,0.215332118,6,1.2,6,2,3,TRUE,FALSE,3,0.615297053,409,1,0,1,0,4,14,0.25,0.64,1,4,5,8,16,16,19,1,5,6,4 3 3 1 1,6,0.003888889,0.813333333,0.814814815,0.215332118,0.822222222,120,30,8,1,6,12,S5-7,S7-9,0,5,5,100,"100,300,400",0.011851852,0.00127551,30,1,8,0.1875,16,28,1.75,4,7,2,2,3,"0,1,4,5,8",12-307,"0,1,4,5,8",12-307,"0,2,8,10,16",24-66821,1.799943371,0.800000042
211,26,0 1 4 6 7,1,improper,1,4,2,1,2,1,2,2,10,8,14,5,1,FALSE,5,1.28,128,2.666666667,1.233333333,5,12,0.16721486,0.309512061,0.280017115,0.236503267,6,0.8,6,2,3,FALSE,FALSE,3,0.535719582,203,0,0,0,0,6,16,0.1,0.52,1,4,6,7,20,20,24,4,"2,3,4,5",12,5 3 2 1 1,12,0.005,0.786666667,0.791666667,0.236503267,0.633333333,140,36,8,4,6,12,S7-29,S5-1,0,5,5,100,"100,200,300,500",0.006696429,0,36,4,8,0.1125,20,29,1.45,6,8,2,2,1,"0,1,4,6,7",12-211,"0,1,4,6,7",12-211,"0,2,8,12,14",24-20741,1.961669115,0.8
339,27,0 1 4 6 8,1,proper,0,4,1,2,1,3,2,1,10,10,12,5,1,FALSE,5,0.88,88,2.266666667,1,3,12,0.163379075,0.253963836,0.237505224,0.207155318,8,1.6,6,1,3,FALSE,FALSE,3,0.652229086,405,1,0,1,1,6,14,0.15,0.8,1,4,6,8,22,22,23,3,"1,3,6",16,4 3 2 2 1,12,0.002222222,0.853333333,0.833333333,0.207155318,0.657142857,100,34,5,0,6,12,S6-13,S6-5,0,5,4,100,"100,200,300,400",0.00617284,0.006944444,34,0,5,0.079545455,22,29,1.318181818,6,10,1,2,1,"0,1,4,6,8",12-339,"0,1,4,6,8",12-339,"0,2,8,12,16",24-69893,2.00516475,0.600007487
595,28,0 1 4 6 9,3,proper,0,3,1,1,3,2,2,1,10,9,10,4,1,FALSE,5,0.72,72,2.266666667,0.9,3,12,0.136788727,0.221214934,0.214908105,0.194973657,8,1.6,6,1,3,FALSE,FALSE,3,0.694874525,613,1,0,1,0,6,11,0.25,0.96,1,4,6,9,21,21,21,3,"1,2,6",15,3 3 3 2 1,4,0.001666667,0.88,0.888888889,0.194973657,0.711111111,80,30,1,0,5,12,S6-13,S6-9,0,5,4,100,"100,200,300",0.00617284,0,30,0,1,0.071428571,21,27,1.285714286,6,9,1,2,3,"0,1,4,6,9",12-595,"0,1,4,6,9",12-595,"0,2,8,12,18",24-266501,2.000223827,0.600007912
403,29,0 1 4 7 8,2,proper,0,3,2,0,2,3,2,1,10,10,12,5,1,FALSE,5,1.12,112,2.266666667,1.1,3,12,0.156364326,0.257411182,0.239557939,0.210331082,6,1.2,6,2,3,FALSE,FALSE,3,0.615297053,403,1,0,1,0,5,14,0.2,0.8,1,4,7,8,21,21,22,1,6,14,4 3 3 1 1,6,0.002777778,0.813333333,0.814814815,0.210331082,0.688888889,100,32,5,0,6,12,S7-19,S5-3,0,5,4,100,"100,300,400",0.006046863,0.0225,32,0,5,0.095238095,21,29,1.380952381,5,10,2,2,2,"0,1,4,7,8",12-403,"0,1,4,7,8",12-403,"0,2,8,14,16",24-82181,1.949609194,0.600007487
227,30,0 1 5 6 7,0,improper,1,3,3,1,0,1,3,2,10,7,15,4,2,FALSE,5,1.68,168,2.933333333,1.366666667,4,12,0.191947821,0.345680835,0.340519208,0.265997075,4,0.4,6,3,3,FALSE,FALSE,2,0.45614211,199,0,0,0,0,5,15,0.25,0.52,1,5,6,7,18,18,21,2,"2,4",11,5 4 1 1 1,4,0.007222222,0.72,0.740740741,0.265997075,0.711111111,160,30,8,4,6,12,S7-15,S5-1,0,5,4,100,"100,400,500",0.01434949,0,30,4,8,0.152777778,18,29,1.611111111,5,7,3,3,0,"0,1,5,6,7",12-227,"0,1,5,6,7",12-227,"0,2,10,12,14",24-21509,1.831379085,0.799999445
355,31,0 1 5 6 8,2,improper,0,3,2,1,1,2,3,1,10,9,10,5,1,TRUE,5,1.28,128,2.533333333,1.233333333,3,12,0.177979376,0.288549118,0.288549118,0.228174731,6,1.6,6,2,2,FALSE,FALSE,2,0.572651615,397,1,1,0,0,6,11,0.25,0.8,1,5,6,8,21,21,21,3,"2,3,6",15,4 4 2 1 1,6,0.003888889,0.786666667,0.814814815,0.228174731,0.711111111,120,30,1,4,6,12,S6-7,S6-5,0,5,5,100,"100,200,400",0.018518519,0.006944444,30,4,1,0.071428571,21,27,1.285714286,6,9,2,3,2,"0,1,5,6,8",12-355,"0,1,5,6,8",12-355,"0,2,10,12,16",24-70661,2.000223827,0.600007912
61,32,0 2 3 4 5,0,improper,0,3,3,3,2,1,1,0,10,8,12,5,3,FALSE,5,1.84,184,6,2,1,12,0.234706845,0.529782319,0.286908077,0.352400206,4,0,6,3,4,FALSE,TRUE,4,0.296987167,47,0,0,0,0,5,13,0.2,0.16,2,3,4,5,19,19,21,3,"3,4,5",13,7 2 1 1 1,4,0.020555556,0.693333333,0.592592593,0.352400206,0.711111111,260,32,6,15,8,12,S5-15,S7-1,0,5,3,100,"100,200,700",0.003125,0,32,15,6,0.092105263,19,26,1.368421053,5,8,3,1,0,"0,2,3,4,5",Dec-61,"0,2,3,4,5",Dec-61,"0,4,6,8,10",24-1361,1.927667428,0.600005934
93,33,0 2 3 4 6,0,improper,1,3,2,3,2,2,0,1,10,9,10,5,2,FALSE,5,1.44,144,5.2,1.733333333,3,12,0.209570226,0.443262545,0.22778936,0.304441532,6,0.4,6,3,4,FALSE,TRUE,5,0.434819391,93,1,0,0,0,5,14,0.2,0.24,2,3,4,6,20,20,21,1,6,13,6 2 2 1 1,6,0.014444444,0.76,0.666666667,0.304441532,0.711111111,220,32,5,14,7,12,S6-23,S6-1,0,5,4,100,"100,200,600",0.003472222,0,32,14,5,0.0875,20,27,1.35,5,9,2,0,0,"0,2,3,4,6",Dec-93,"0,2,3,4,6",Dec-93,"0,4,6,8,12",24-4433,1.944668271,0.600007912
157,34,0 2 3 4 7,2,improper,0,4,2,2,2,2,2,0,10,10,10,5,2,FALSE,5,1.28,128,4.4,1.466666667,2,12,0.179904175,0.388608964,0.179904175,0.26977977,6,0.4,6,2,3,FALSE,FALSE,3,0.535719582,185,1,0,0,0,5,16,0.05,0.12,2,3,4,7,21,21,24,4,"2,3,4,5",15,5 3 2 1 1,12,0.010555556,0.786666667,0.791666667,0.26977977,0.633333333,200,38,8,14,7,12,S7-29,S5-1,0,5,4,100,"100,200,300,500",0.006696429,0,38,14,8,0.05952381,21,26,1.238095238,5,10,2,2,2,"0,2,3,4,7",12-157,"0,2,3,4,7",12-157,"0,4,6,8,14",24-16721,2.01722467,2
285,35,0 2 3 4 8,1,improper,1,3,2,2,1,3,1,1,10,10,12,5,2,FALSE,5,1.28,128,3.866666667,1.2,3,12,0.158631085,0.364238272,0.158631085,0.257474855,6,0.8,6,3,3,FALSE,FALSE,4,0.572651615,279,0,0,0,0,6,16,0.1,0.2,2,3,4,8,22,22,24,4,"2,3,5,6",16,4 4 2 1 1,6,0.008888889,0.786666667,0.814814815,0.257474855,0.633333333,180,36,7,13,7,12,S4-7,S8-17,0,5,3,100,"100,200,400",0.00462963,0,36,13,7,0.079545455,22,29,1.318181818,6,10,2,1,1,"0,2,3,4,8",12-285,"0,2,3,4,8",12-285,"0,4,6,8,16",24-65873,2.00516475,0.600007487
109,36,0 2 3 5 6,0,improper,2,3,2,2,3,1,1,1,10,9,10,5,1,FALSE,5,1.44,144,4.533333333,1.7,2,12,0.215492134,0.404884329,0.230333269,0.282674231,6,0.8,6,3,3,FALSE,TRUE,4,0.434819391,91,0,0,0,1,6,11,0.25,0.4,2,3,5,6,21,21,21,3,"4,5,6",15,6 2 2 1 1,6,0.011666667,0.76,0.666666667,0.282674231,0.711111111,200,30,1,14,7,12,S6-27,S6-1,0,5,5,100,"100,200,600",0.001736111,0,30,14,1,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,3,5,6",12-109,"0,2,3,5,6",12-109,"0,4,6,10,12",24-5201,2.000223827,0.600007912
173,37,0 2 3 5 7,1,improper,0,3,1,3,2,1,3,0,10,8,10,4,1,TRUE,5,1.04,104,3.733333333,1.333333333,1,12,0.182760161,0.343256893,0.182760161,0.247375721,8,2,6,2,2,FALSE,TRUE,2,0.572651615,181,1,2,1,1,5,13,0.25,0.44,2,3,5,7,19,19,20,2,"1,4",13,5 2 2 2 1,4,0.007222222,0.826666667,0.740740741,0.247375721,0.738888889,160,30,4,10,6,12,S7-43,S5-1,0,5,4,100,"100,200,500",0.001594388,0,30,10,4,0.092105263,19,26,1.368421053,5,8,1,3,1,"0,2,3,5,7",12-173,"0,2,3,5,7",12-173,"0,4,6,10,14",24-17489,1.927667428,0.600005934
301,38,0 2 3 5 8,2,improper,0,4,1,2,3,1,2,1,10,9,12,5,1,TRUE,5,0.88,88,3.2,1.066666667,2,12,0.147979424,0.303724482,0.147979424,0.224117809,8,2,6,2,2,TRUE,FALSE,3,0.652229086,361,1,1,1,1,6,14,0.1,0.44,2,3,5,8,21,21,23,4,"1,4,5,6",15,4 3 2 2 1,12,0.005,0.853333333,0.833333333,0.224117809,0.657142857,140,36,7,7,6,12,S5-11,S7-9,0,5,5,100,"100,200,300,400",0.002962963,0.00127551,36,7,7,0.071428571,21,27,1.285714286,6,9,1,2,2,"0,2,3,5,8",12-301,"0,2,3,5,8",12-301,"0,4,6,10,16",24-66641,2.000223827,0.600007912
205,39,0 2 3 6 7,1,improper,0,4,2,1,2,2,2,1,10,10,10,5,1,FALSE,5,1.28,128,3.066666667,1.4,3,12,0.182794703,0.328775797,0.182794703,0.239695642,6,1.6,6,3,3,FALSE,FALSE,3,0.535719582,179,0,0,1,0,6,15,0.1,0.44,2,3,6,7,22,22,24,4,"2,3,5,6",16,5 3 2 1 1,12,0.006111111,0.786666667,0.791666667,0.239695642,0.633333333,160,36,5,9,6,12,S7-27,S5-1,0,5,5,100,"100,200,300,500",0.004145408,0,36,9,5,0.056818182,22,27,1.227272727,6,10,2,2,1,"0,2,3,6,7",12-205,"0,2,3,6,7",12-205,"0,4,6,12,14",24-20561,2.045002448,2
333,40,0 2 3 6 8,1,improper,0,4,1,2,2,2,1,2,10,8,14,5,1,FALSE,5,0.88,88,2.533333333,1.033333333,6,12,0.145893085,0.279890152,0.145893085,0.214032813,8,1.6,6,2,3,FALSE,FALSE,4,0.652229086,357,1,0,0,1,6,16,0.1,0.6,2,3,6,8,20,20,24,4,"1,3,4,5",12,4 3 2 2 1,12,0.003333333,0.853333333,0.833333333,0.214032813,0.633333333,120,36,8,2,6,12,S6-13,S6-5,0,5,5,100,"100,200,300,400",0.00617284,0.006944444,36,2,8,0.1125,20,29,1.45,6,8,1,1,1,"0,2,3,6,8",12-333,"0,2,3,6,8",12-333,"0,4,6,12,16",24-69713,1.961669115,0.8
589,41,0 2 3 6 9,1,proper,0,3,1,1,4,1,1,2,10,7,14,5,1,FALSE,5,0.72,72,2.533333333,0.8,5,12,0.124521018,0.247225489,0.124521018,0.202025088,8,1.2,6,2,4,TRUE,FALSE,4,0.694874525,587,0,0,1,0,6,16,0.2,0.6,2,3,6,9,19,19,21,4,"1,2,4,5",14,3 3 3 2 1,4,0.002777778,0.88,0.888888889,0.202025088,0.707142857,100,32,10,0,6,12,S6-13,S6-9,0,5,3,100,"100,200,300",0.00617284,0,32,0,10,0.157894737,19,31,1.631578947,6,7,1,1,1,"0,2,3,6,9",12-589,"0,2,3,6,9",12-589,"0,4,6,12,18",24-266321,1.850558004,0.8
397,42,0 2 3 7 8,2,improper,0,3,2,1,1,2,3,1,10,9,10,5,1,TRUE,5,1.28,128,2.533333333,1.233333333,3,12,0.162031828,0.294036342,0.162031828,0.226200847,6,1.6,6,2,2,FALSE,FALSE,2,0.572651615,355,0,1,1,0,6,11,0.25,0.8,2,3,7,8,21,21,21,3,"2,3,6",15,4 4 2 1 1,6,0.003888889,0.786666667,0.814814815,0.226200847,0.711111111,120,30,1,4,6,12,S7-13,S5-3,0,5,5,100,"100,200,400",0.010582011,0.0225,30,4,1,0.071428571,21,27,1.285714286,6,9,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,2.000223827,0.600007912
117,43,0 2 4 5 6,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,FALSE,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,FALSE,TRUE,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.600007912
181,44,0 2 4 5 7,1,improper,0,3,1,3,2,1,3,0,10,8,10,4,1,TRUE,5,1.04,104,3.733333333,1.3,1,12,0.162637706,0.339958665,0.233312911,0.246491872,8,2,6,2,2,FALSE,TRUE,2,0.572651615,173,0,2,0,1,5,13,0.25,0.44,2,4,5,7,19,19,20,2,"1,4",13,5 2 2 2 1,4,0.007222222,0.826666667,0.740740741,0.246491872,0.738888889,160,30,4,10,6,12,S7-43,S5-1,0,5,4,100,"100,200,500",0.001594388,0,30,10,4,0.092105263,19,26,1.368421053,5,8,1,3,1,"0,2,4,5,7",12-181,"0,2,4,5,7",12-181,"0,4,8,10,14",24-17681,1.927667428,0.600005934
309,45,0 2 4 5 8,1,improper,0,4,1,2,2,3,1,1,10,10,12,5,1,FALSE,5,0.88,88,2.933333333,1.033333333,3,12,0.137884314,0.292177079,0.189259393,0.217752077,8,1.6,6,2,3,TRUE,FALSE,4,0.652229086,345,1,0,1,1,6,16,0.1,0.52,2,4,5,8,22,22,24,4,"1,3,5,6",16,4 3 2 2 1,12,0.004444444,0.853333333,0.833333333,0.217752077,0.633333333,140,36,7,5,6,12,S5-11,S7-9,0,5,4,100,"100,200,300,400",0.002962963,0.00127551,36,5,7,0.079545455,22,29,1.318181818,6,10,1,1,1,"0,2,4,5,8",12-309,"0,2,4,5,8",12-309,"0,4,8,10,16",24-66833,2.00516475,0.600007487
213,46,0 2 4 6 7,1,improper,0,3,1,3,1,2,2,1,10,9,10,5,1,TRUE,5,1.04,104,3.066666667,1.166666667,3,12,0.158882326,0.320921087,0.236471529,0.235445874,8,2,6,2,2,FALSE,TRUE,3,0.572651615,171,0,1,0,1,6,13,0.2,0.52,2,4,6,7,21,21,22,4,"1,3,5,6",15,5 2 2 2 1,4,0.005555556,0.826666667,0.740740741,0.235445874,0.679365079,160,32,3,9,6,12,S7-43,S5-1,0,5,3,100,"100,200,500",0.001594388,0,32,9,3,0.071428571,21,27,1.285714286,6,9,1,2,1,"0,2,4,6,7",12-213,"0,2,4,6,7",12-213,"0,4,8,12,14",24-20753,2.000223827,0.600007912
341,47,0 2 4 6 8,0,proper,0,2,0,4,0,4,0,2,10,4,18,3,0,FALSE,5,0.64,64,2.266666667,0.8,4,12,0.178145886,0.263786268,0.192730087,0.205213116,10,2,6,2,4,FALSE,TRUE,5,0.689161119,341,1,0,0,1,3,16,0.5,0.6,2,4,6,8,11,11,14,0,,0,4 2 2 2 2,1,0.002222222,0.893333333,0.833333333,0.205213116,1.111111111,80,20,10,0,6,12,S6-21,S6-5,0,5,2,200,"200,400",0,0.006944444,20,0,10,0.454545455,11,31,2.818181818,3,4,0,0,0,"0,2,4,6,8",12-341,"0,2,4,6,8",12-341,"0,4,8,12,16",24-69905,1.511078341,0.800000167
597,48,0 2 4 6 9,2,proper,0,2,0,3,2,2,2,1,10,9,10,5,0,TRUE,5,0.48,48,2.266666667,0.7,3,12,0.163434906,0.227684749,0.166983461,0.190869159,10,2,6,1,3,TRUE,FALSE,3,0.731806558,597,1,1,0,2,5,11,0.3,0.96,2,4,6,9,20,20,20,1,6,13,3 3 2 2 2,2,0.001111111,0.92,0.916666667,0.190869159,0.755555556,60,28,1,0,5,12,S6-21,S6-9,0,5,2,200,"200,300",0,0,28,0,1,0.0875,20,27,1.35,5,9,0,2,2,"0,2,4,6,9",12-597,"0,2,4,6,9",12-597,"0,4,8,12,18",24-266513,1.944668271,0.600007912
405,49,0 2 4 7 8,1,proper,0,4,1,2,1,3,2,1,10,10,12,5,1,FALSE,5,0.88,88,2.266666667,1,3,12,0.145928241,0.263210482,0.194310772,0.205731879,8,1.6,6,1,3,FALSE,FALSE,3,0.652229086,339,0,0,0,1,6,14,0.15,0.8,2,4,7,8,22,22,23,3,"1,3,6",16,4 3 2 2 1,12,0.002222222,0.853333333,0.833333333,0.205731879,0.657142857,100,34,5,0,6,12,S7-21,S5-3,0,5,4,100,"100,200,300,400",0.001511716,0.0225,34,0,5,0.079545455,22,29,1.318181818,6,10,1,2,1,"0,2,4,7,8",12-405,"0,2,4,7,8",12-405,"0,4,8,14,16",24-82193,2.00516475,0.600007487
661,50,0 2 4 7 9,2,strictly proper,0,2,0,3,2,1,4,0,10,6,10,3,0,TRUE,5,0.48,48,2.266666667,0.8,1,12,0.166443266,0.215432656,0.166443266,0.188212158,10,2,6,0,2,FALSE,FALSE,1,0.731806558,661,1,3,0,1,4,10,0.5,1,2,4,7,9,15,15,15,1,4,7,3 3 2 2 2,2,0.000555556,0.92,0.916666667,0.188212158,1,40,20,0,0,5,12,S7-21,S5-5,0,5,4,200,"200,300",0.001511716,0.0025,20,0,0,0.183333333,15,26,1.733333333,4,6,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,1.765046595,0.799999924
